day,microcosm,species,species.number,weight.1,weight.2,weight.3 ,weight.4,weight.5,count
5,36,paramecium,1,0.2962,1.115,0.3346,1,1,23
5,36,tetrahymena,2,0.2962,1.115,0.3346,1.103,0.3201,46
5,37,colpidium,1,0.2984,1.981,0.3255,1,1,35
5,37,loxocephallus,2,0.2984,1.981,0.3255,0.7981,0.2891,31
5,38,colpidium,1,0.3038,1.5011,0.366,1,1,70
5,38,paramecium,2,0.3038,1.5011,0.366,1,1,14
5,39,colpidium,1,0.3632,2.0401,0.3055,1,1,55
5,39,tetrahymena,2,0.3632,2.0401,0.3055,1,1,38
5,40,loxocephallus,1,0.3544,0.86,0.3452,2.3587,0.3261,86
5,40,paramecium,2,0.3544,0.86,0.3452,1,1,24
5,41,loxocephallus,1,0.3647,2.4593,0.2806,2.327,0.3468,6
5,41,tetrahymena,2,0.3647,2.4593,0.2806,2.327,0.3468,18
5,42,paramecium,1,0.3683,1.41,0.3394,1,1,15
5,42,tetrahymena,2,0.3683,1.41,0.3394,0.7508,0.3073,49
5,43,colpidium,1,0.3273,1.6819,0.3217,1.0247,0.3019,18
5,43,loxocephallus,2,0.3273,1.6819,0.3217,1.0247,0.3019,38
5,44,colpidium,1,0.305,0.7583,0.2477,1,1,63
5,44,paramecium,2,0.305,0.7583,0.2477,1,1,17
5,45,colpidium,1,0.2674,1.7898,0.2954,1,1,34
5,45,tetrahymena,2,0.2674,1.7898,0.2954,1,1,38
5,46,loxocephallus,1,0.3311,0.795,0.2728,0.8069,0.3277,79
5,46,paramecium,2,0.3311,0.795,0.2728,1,1,23
5,47,loxocephallus,1,0.3012,1.9647,0.2983,1.8329,0.3184,21
5,47,tetrahymena,2,0.3012,1.9647,0.2983,1.8329,0.3184,33
5,48,paramecium,1,0.3061,0.676,0.3128,1,1,30
5,48,tetrahymena,2,0.3061,0.676,0.3128,1.6054,0.2968,60
5,49,colpidium,1,0.3125,2.5071,0.3574,1,1,38
5,49,loxocephallus,2,0.3125,2.5071,0.3574,1,1,80
5,50,colpidium,1,0.3516,0.8388,0.3531,1,1,70
5,50,paramecium,2,0.3516,0.8388,0.3531,1,1,24
5,51,colpidium,1,0.3245,1.6227,0.3512,1,1,62
5,51,tetrahymena,2,0.3245,1.6227,0.3512,1.04,0.3312,37
5,52,loxocephallus,1,0.3062,0.7501,0.3445,2.0118,0.323,95
5,52,paramecium,2,0.3062,0.7501,0.3445,1,1,24
5,53,loxocephallus,1,0.2918,3.3119,0.3304,1.3261,0.3717,24
5,53,tetrahymena,2,0.2918,1,1,1,1,34
5,54,paramecium,1,0.3339,2.033,0.3413,1,1,25
5,54,tetrahymena,2,0.3339,2.033,0.3413,1.0238,0.3366,42
7,1,colpidium,1,0.3027,1.9756,0.3309,0.8488,0.2824,12
7,1,loxocephallus,2,0.3027,1.9756,0.3309,0.8488,0.2824,23
7,2,colpidium,1,0.3173,0.9935,0.3297,1,1,57
7,2,paramecium,2,0.3173,0.9935,0.3297,1,1,22
7,3,colpidium,1,0.3196,1.9831,0.36,1,1,66
7,3,tetrahymena,2,0.3196,1.9831,0.36,1,1,43
7,4,loxocephallus,1,0.3486,2.0847,0.3021,0.8568,0.3549,70
7,4,paramecium,2,0.3486,2.0847,0.3021,1,1,22
7,5,loxocephallus,1,0.3248,2.808,0.2892,0.896,2.2888,36
7,5,tetrahymena,2,0.3248,2.808,0.2892,1,1,40
7,6,paramecium,1,0.2888,1.0263,0.3332,1,1,18
7,6,tetrahymena,2,0.2888,1.0263,0.3332,1.1884,0.343,28
7,7,colpidium,1,0.3158,2.3336,0.3368,1,1,60
7,7,loxocephallus,2,0.3158,2.3336,0.3368,1,1,48
7,8,colpidium,1,0.3784,1.7063,0.3282,1,1,45
7,8,paramecium,2,0.3784,1.7063,0.3282,1,1,15
7,9,colpidium,1,0.3404,2.031,0.3211,1,1,76
7,9,tetrahymena,2,0.3404,2.031,0.3211,1,1,38
7,10,loxocephallus,1,0.3351,1.0544,0.355,1.9835,0.3074,47
7,10,paramecium,2,0.3351,1.0544,0.355,1,1,25
7,11,loxocephallus,1,0.3286,2.6796,0.31,1.1574,0.3364,40
7,11,tetrahymena,2,0.3286,2.6796,0.31,1.1574,0.3364,30
7,12,paramecium,1,0.3445,0.8383,0.3176,1,1,34
7,12,tetrahymena,2,0.3445,0.8383,0.3716,1,1,16
7,13,colpidium,1,0.3595,1.7566,0.3469,1,1,43
7,13,loxocephallus,2,0.3595,1.7566,0.3469,0.8685,0.3891,35
7,14,colpidium,1,0.313,1.8029,0.3133,1,1,45
7,14,paramecium,2,0.313,1.8029,0.3133,1,1,14
7,15,colpidium,1,0.3503,1.7131,0.2772,1,1,58
7,15,tetrahymena,2,0.3503,1.7131,0.2772,1,1,42
7,16,loxocephallus,1,0.317,1.1709,0.3046,1.7211,0.3496,94
7,16,paramecium,2,0.317,1.1709,0.3046,1,1,16
7,17,loxocephallus,1,0.3117,3.2019,0.3156,1.8038,0.3196,21
7,17,tetrahymena,2,0.3117,3.2019,0.3156,1.8038,0.3196,14
7,18,paramecium,1,0.3055,1.2378,0.3163,1,1,24
7,18,tetrahymena,2,0.3055,1.2378,0.3163,1,1,67
7,19,colpidium,1,0.3375,2.6628,0.2847,1.659,0.3109,8
7,19,loxocephallus,2,0.3375,2.6628,0.2847,1.659,0.3109,10
7,20,colpidium,1,0.2861,0.9005,0.3269,1,1,56
7,20,paramecium,2,0.2861,0.9005,0.3269,1,1,17
7,21,colpidium,1,0.2916,1.6909,0.3219,0.8497,0.3251,23
7,21,tetrahymena,2,0.2916,1.6909,0.3219,1,1,30
7,22,loxocephallus,1,0.3387,1.0262,0.3001,1.6743,0.3309,36
7,22,paramecium,2,0.3387,1.0262,0.3001,1,1,20
7,23,loxocephallus,1,0.3268,2.6498,0.3075,1.7505,0.3368,23
7,23,tetrahymena,2,0.3268,2.6498,0.3075,1.7505,0.3368,14
7,24,paramecium,1,0.3692,1.6647,0.3053,1,1,33
7,24,tetrahymena,2,0.3692,1.6647,0.3053,1.3764,0.3424,30
7,25,colpidium,1,0.36,1.9571,0.3096,1.2488,0.3297,18
7,25,loxocephallus,2,0.36,1.9571,0.3096,1.2488,0.3297,17
7,26,colpidium,1,0.3876,1.0755,0.3143,1,1,85
7,26,paramecium,2,0.3876,1.0755,0.3143,1,1,10
7,27,colpidium,1,0.2928,2.5038,0.3509,1,1,32
7,27,tetrahymena,2,0.2928,2.5038,0.3509,1,1,56
7,28,loxocephallus,1,0.3115,1.685,0.3349,1.158,0.2911,47
7,28,paramecium,2,0.3115,1.685,0.3349,1,1,17
7,29,loxocephallus,1,0.3272,2.5405,0.3303,1.7404,0.3539,15
7,29,tetrahymena,2,0.3272,2.5405,0.3303,1.7407,0.3539,9
7,30,paramecium,1,0.3132,1.0704,0.2926,1,1,21
7,30,tetrahymena,2,0.3132,1.0704,0.2926,1.0569,0.3057,47
7,31,colpidium,1,0.3351,1.12,0.2907,1,1,37
7,31,loxocephallus,2,0.3351,1.12,0.2907,1.7305,0.322,26
7,32,colpidium,1,0.3331,1.0931,0.3099,1,1,54
7,32,paramecium,2,0.3331,1.0931,0.3099,1,1,12
7,33,colpidium,1,0.3136,1.7759,0.3125,1,1,30
7,33,tetrahymena,2,0.3136,1.7759,0.3125,1.0253,0.3126,20
7,34,loxocephallus,1,0.3219,1.2612,0.293,2.0853,0.2984,17
